AllGroups	Group	Subject	Version	BlockOrder	Block	PrimeTarget	Trial	List	Decision	CorrResp	Sign	Filename	View	Angle	from0	SignType	Item	PairChange	Difficulty	AngleChange	ACC	ErrorRate	RESP	RT	Priming	PercentFaster	AccChange	EXCLUDERT	EXCLUDEACC	ExclPractice	Excl135Deg	ExclOpposite	ExclItem	ExclSlow	ExclPairExcl	ExclIncorrect	ExclPairIncorr
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	1	8	family	no	CASTLE	CASTLE_0.avi	1	0	0	2hs	488	practice	practice	practice	1	0	f	2931	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	4	3	family	no	COWBOY	COWBOY_45R.avi	3	45R	45	2hs	483	practice	practice	practice	1	0	f	3162	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	5	10	family	no	DRAWER	DRAWER_45L.avi	2	45L	45	2hs	490	practice	practice	practice	1	0	f	1674	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	2	9	family	yes	GRANDMA	GRANDMOTHER_90L.avi	4	90L	90	2hd	489	practice	practice	practice	1	0	j	2141	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	10	5	family	yes	GRANDSON	GRANDSON_90L.avi	4	90L	90	2hd	485	practice	practice	practice	1	0	j	1265	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	7	6	family	no	MECHANIC	MECHANIC_45R.avi	3	45R	45	2hs	486	practice	practice	practice	1	0	f	1355	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	8	4	family	no	MONEY	MONEY_0.avi	1	0	0	2hd	484	practice	practice	practice	1	0	f	1235	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	9	7	family	yes	MOTHER	MOTHER_90R.avi	5	90R	90	2hd	487	practice	practice	practice	1	0	j	1271	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	3	1	family	no	MOUNTAIN	MOUNTAIN_45L.avi	2	45L	45	2hs	481	practice	practice	practice	1	0	f	1596	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	1	Practice	practice	6	2	family	yes	NEPHEW	NEPHEW_90R.avi	5	90R	90	1h	482	practice	practice	practice	1	0	j	1541	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	8	8	family	no	CASTLE	CASTLE_0.avi	1	0	0	2hs	488	practice	practice	practice	1	0	j	1708	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	6	3	family	no	COWBOY	COWBOY_45R.avi	3	45R	45	2hs	483	practice	practice	practice	1	0	j	1772	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	9	10	family	no	DRAWER	DRAWER_45L.avi	2	45L	45	2hs	490	practice	practice	practice	1	0	j	1253	0	0	0	1	1	1	0	0	0	0	0	0	1
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	1	9	family	yes	GRANDMA	GRANDMOTHER_90L.avi	4	90L	90	2hd	489	practice	practice	practice	0	1	j	6949	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	4	5	family	yes	GRANDSON	GRANDSON_90L.avi	4	90L	90	2hd	485	practice	practice	practice	1	0	f	3913	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	5	6	family	no	MECHANIC	MECHANIC_45R.avi	3	45R	45	2hs	486	practice	practice	practice	1	0	j	1874	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	2	4	family	no	MONEY	MONEY_0.avi	1	0	0	2hd	484	practice	practice	practice	1	0	j	10310	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	3	7	family	yes	MOTHER	MOTHER_90R.avi	5	90R	90	2hd	487	practice	practice	practice	1	0	f	2088	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	7	1	family	no	MOUNTAIN	MOUNTAIN_45L.avi	2	45L	45	2hs	481	practice	practice	practice	1	0	j	1674	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	1	Practice	practice	10	2	family	yes	NEPHEW	NEPHEW_90R.avi	5	90R	90	1h	482	practice	practice	practice	1	0	f	1200	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	1	Practice	practice	7	8	family	no	CASTLE	CASTLE_0.avi	1	0	0	2hs	488	practice	practice	practice	1	0	f	2236	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	1	Practice	practice	10	3	family	no	COWBOY	COWBOY_45R.avi	3	45R	45	2hs	483	practice	practice	practice	1	0	f	1388	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	1	Practice	practice	5	10	family	no	DRAWER	DRAWER_45L.avi	2	45L	45	2hs	490	practice	practice	practice	1	0	f	1117	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	1	Practice	practice	6	9	family	yes	GRANDMA	GRANDMOTHER_90L.avi	4	90L	90	2hd	489	practice	practice	practice	1	0	j	1475	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	1	Practice	practice	2	5	family	yes	GRANDSON	GRANDSON_90L.avi	4	90L	90	2hd	485	practice	practice	practice	1	0	j	1740	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	1	Practice	practice	9	6	family	no	MECHANIC	MECHANIC_45R.avi	3	45R	45	2hs	486	practice	practice	practice	1	0	f	1608	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	1	Practice	practice	3	4	family	no	MONEY	MONEY_0.avi	1	0	0	2hd	484	practice	practice	practice	1	0	f	1443	0	0	0	1	1	1	0	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	1	Practice	practice	8	7	family	yes	MOTHER	MOTHER_90R.avi	5	90R	90	2hd	487	practice	practice	practice	1	0	j	1263	0	0	0	1	1	1	0	0	0	0	0	0	0
