Group	L1L2	Subject	Version	BlockOrder	Block	PrimeTarget	Trial	List	Decision	CorrResp	Sign	Filename	View	AngleLR	Angle	SignType	NounClass	Item	PairChange	Difficulty	AngleChange	ACC	ErrorRate	RESP	RT	Log10RT	LogDiff	Priming	PercentFaster	AccChange	ExclPractice	ExclItem	ExclIncorrect	ExclPairIncorr	Excl135Deg	ExclOpposite	ExclSlowFast	ExclPairSlow
L1_Deaf	L1	S105	V2a_F0_J1	2	Block1	prime	71	98	living	no	AFTERNOON	AFTERNOON_0.avi	1	0	0	1h	body	98	0to90	harder	90	0	1	j	1382	3.140508043	-0.110399657	-400	-0.22	1	0	1	1	0	0	0	0	0
L1_Deaf	L1	S105	V2a_F0_J1	4	Block3	target	42	98	living	no	AFTERNOON	AFTERNOON_90R.avi	5	90R	90	1h	body	98	0to90	harder	90	1	0	f	1782	3.2509077	-0.110399657	-400	-0.22	1	0	1	0	1	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	2	Block2	prime	77	61	edible	no	AFTERNOON	AFTERNOON_0.avi	1	0	0	1h	body	98	0to45	harder	45	1	0	j	1555	3.191730393	-0.027067605	-100	-0.06	0	0	1	0	0	0	0	0	0
L1_Deaf	L1	S106	V2b_F1_J0	4	Block4	target	38	61	edible	no	AFTERNOON	AFTERNOON_45L.avi	2	45L	45	1h	body	98	0to45	harder	45	1	0	j	1655	3.218797998	-0.027067605	-100	-0.06	0	0	1	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	2	Block1	prime	51	98	living	no	AFTERNOON	AFTERNOON_0.avi	1	0	0	1h	body	98	0to90	harder	90	1	0	f	1299	3.113609151	-0.001001833	-3	0	0	0	1	0	0	0	0	0	0
L1_Deaf	L1	S107	V2a_F0_J1	4	Block3	target	79	98	living	no	AFTERNOON	AFTERNOON_90R.avi	5	90R	90	1h	body	98	0to90	harder	90	1	0	f	1302	3.114610984	-0.001001833	-3	0	0	0	1	0	0	0	0	0	0
L2_Intermediate	M2L2	S108	V2a_F0_J1	2	Block1	prime	31	98	living	no	AFTERNOON	AFTERNOON_0.avi	1	0	0	1h	body	98	0to90	harder	90	0	1	j	3193	3.504198919	0.148173061	923	0.41	1	0	1	1	0	0	0	0	0
L2_Intermediate	M2L2	S108	V2a_F0_J1	4	Block3	target	60	98	living	no	AFTERNOON	AFTERNOON_90R.avi	5	90R	90	1h	body	98	0to90	harder	90	1	0	f	2270	3.356025857	0.148173061	923	0.41	1	0	1	0	1	0	0	0	0
L1_Deaf	L1	S109	V2b_F1_J0	2	Block2	prime	40	61	edible	no	AFTERNOON	AFTERNOON_0.avi	1	0	0	1h	body	98	0to45	harder	45	1	0	j	1761	3.245759356	0.020967399	83	0.05	0	0	1	0	0	0	0	0	0
L1_Deaf	L1	S109	V2b_F1_J0	4	Block4	target	42	61	edible	no	AFTERNOON	AFTERNOON_45L.avi	2	45L	45	1h	body	98	0to45	harder	45	1	0	j	1678	3.224791956	0.020967399	83	0.05	0	0	1	0	0	0	0	0	0
L1_Deaf	L1	S110	V2b_F1_J0	2	Block2	prime	1	61	edible	no	AFTERNOON	AFTERNOON_0.avi	1	0	0	1h	body	98	0to45	harder	45	1	0	j	2269	3.355834496	0.146319481	649	0.4	0	0	1	0	0	0	0	0	0
L1_Deaf	L1	S110	V2b_F1_J0	4	Block4	target	79	61	edible	no	AFTERNOON	AFTERNOON_45L.avi	2	45L	45	1h	body	98	0to45	harder	45	1	0	j	1620	3.209515015	0.146319481	649	0.4	0	0	1	0	0	0	0	0	0
L2_Intermediate	M2L2	S111	V2b_F1_J0	2	Block2	prime	56	61	edible	no	AFTERNOON	AFTERNOON_0.avi	1	0	0	1h	body	98	0to45	harder	45	1	0	j	1684	3.226342087	0.030996029	116	0.07	0	0	1	0	0	0	0	0	0
L2_Intermediate	M2L2	S111	V2b_F1_J0	4	Block4	target	18	61	edible	no	AFTERNOON	AFTERNOON_45L.avi	2	45L	45	1h	body	98	0to45	harder	45	1	0	j	1568	3.195346058	0.030996029	116	0.07	0	0	1	0	0	0	0	0	0
L1_Deaf	L1	S112	V3a_F0_J1	2	Block1	prime	54	98	living	no	AFTERNOON	AFTERNOON_90R.avi	5	90R	90	1h	body	98	90to90	same	0	0	1	j	1392	3.143639235	0.062652188	187	0.16	0	0	1	1	1	0	0	0	0
L1_Deaf	L1	S112	V3a_F0_J1	4	Block3	target	24	98	living	no	AFTERNOON	AFTERNOON_90R.avi	5	90R	90	1h	body	98	90to90	same	0	0	1	j	1205	3.080987047	0.062652188	187	0.16	0	0	1	1	1	0	0	0	0
L1_Hearing	L1	S113	V3a_F0_J1	2	Block1	prime	10	98	living	no	AFTERNOON	AFTERNOON_90R.avi	5	90R	90	1h	body	98	90to90	same	0	0	1	j	1590	3.201397124	0.070420433	238	0.18	0	0	1	1	1	0	0	0	0
L1_Hearing	L1	S113	V3a_F0_J1	4	Block3	target	57	98	living	no	AFTERNOON	AFTERNOON_90R.avi	5	90R	90	1h	body	98	90to90	same	0	0	1	j	1352	3.130976692	0.070420433	238	0.18	0	0	1	1	1	0	0	0	0
L1_Deaf	L1	S114	V3a_F0_J1	2	Block1	prime	74	98	living	no	AFTERNOON	AFTERNOON_90R.avi	5	90R	90	1h	body	98	90to90	same	0	1	0	f	1590	3.201397124	-0.014240439	-53	-0.03	0	0	1	0	0	0	0	0	0
