ExperimentName	Subject	Group	Trial	List	Filename	TrialType	Rotation	CorrResp	RESP	ACC	RT	ExclSlow
MR_V2_F0_J1	S105	L1_Deaf	29	20	3_50_R.jpg	Mirror	50	f	j	0	590	0
MR_V2_F0_J1	S105	L1_Deaf	14	351	44_150.jpg	Same	150	j	j	1	598	0
MR_V1_F1_J0	S152	L2_Fluent	48	295	37_150.jpg	Same	150	f	f	1	602	0
MR_V2_F0_J1	S105	L1_Deaf	40	46	6_100_R.jpg	Mirror	100	f	j	0	630	0
MR_V2_F0_J1	S113	L1_Hearing	39	116	15_50_R.jpg	Mirror	50	f	j	0	639	0
MR_V2_F0_J1	S105	L1_Deaf	44	362	46_0_R.jpg	Mirror	0	f	j	0	641	0
MR_V2_F0_J1	S105	L1_Deaf	17	227	29_50.jpg	Same	50	j	f	0	647	0
MR_V2_F0_J1	S105	L1_Deaf	11	88	11_150_R.jpg	Mirror	150	f	j	0	656	0
MR_V2_F0_J1	S105	L1_Deaf	21	180	23_50_R.jpg	Mirror	50	f	f	1	657	0
MR_V1_F1_J0	S130	L2_Intermediate	27	163	21_50.jpg	Same	50	f	f	1	657	0
MR_V2_F0_J1	S105	L1_Deaf	12	224	28_150_R.jpg	Mirror	150	f	f	1	665	0
MR_V2_F0_J1	S105	L1_Deaf	25	124	16_50_R.jpg	Mirror	50	f	j	0	699	0
MR_V2_F0_J1	S105	L1_Deaf	36	102	13_100_R.jpg	Mirror	100	f	j	0	705	0
MR_V2_F0_J1	S105	L1_Deaf	33	291	37_50.jpg	Same	50	j	f	0	713	0
MR_V2_F0_J1	S105	L1_Deaf	35	181	23_100.jpg	Same	100	j	f	0	714	0
MR_V1_F1_J0	S110	L1_Deaf	33	80	10_150_R.jpg	Mirror	150	j	f	0	723	0
MR_V2_F0_J1	S105	L1_Deaf	47	72	9_150_R.jpg	Mirror	150	f	j	0	727	0
MR_V2_F0_J1	S105	L1_Deaf	39	73	10_0.jpg	Same	0	j	j	1	729	0
MR_V1_F1_J0	S122	L2_Intermediate	14	105	14_0.jpg	Same	0	f	f	1	730	0
MR_V1_F1_J0	S130	L2_Intermediate	44	233	30_0.jpg	Same	0	f	f	1	742	0
MR_V2_F0_J1	S105	L1_Deaf	20	54	7_100_R.jpg	Mirror	100	f	f	1	749	0
MR_V2_F0_J1	S105	L1_Deaf	13	256	32_150_R.jpg	Mirror	150	f	j	0	753	0
MR_V2_F0_J1	S105	L1_Deaf	16	255	32_150.jpg	Same	150	j	j	1	763	0
MR_V1_F1_J0	S122	L2_Intermediate	34	305	39_0.jpg	Same	0	f	f	1	767	0
MR_V2_F0_J1	S113	L1_Hearing	42	122	16_0_R.jpg	Mirror	0	f	j	0	773	0
MR_V2_F0_J1	S114	L1_Deaf	43	353	45_0.jpg	Same	0	j	j	1	775	0
MR_V1_F1_J0	S124	L1_Hearing	48	17	3_0.jpg	Same	0	f	f	1	783	0
MR_V1_F1_J0	S140	L1_Deaf	45	161	21_0.jpg	Same	0	f	f	1	785	0
MR_V2_F0_J1	S105	L1_Deaf	22	261	33_100.jpg	Same	100	j	j	1	786	0
MR_V1_F1_J0	S117	L1_Hearing	35	252	32_50_R.jpg	Mirror	50	j	f	0	789	0
MR_V2_F0_J1	S126	L2_Intermediate	3	11	2_50.jpg	Same	50	j	j	1	790	0
MR_V2_F0_J1	S113	L1_Hearing	35	273	35_0.jpg	Same	0	j	j	1	794	0
MR_V2_F0_J1	S113	L1_Hearing	36	25	4_0.jpg	Same	0	j	j	1	796	0
MR_V1_F1_J0	S122	L2_Intermediate	9	249	32_0.jpg	Same	0	f	f	1	801	0
MR_V2_F0_J1	S131	L2_Intermediate	47	185	24_0.jpg	Same	0	j	j	1	801	0
MR_V1_F1_J0	S124	L1_Hearing	38	138	18_0_R.jpg	Mirror	0	j	f	0	810	0
MR_V1_F1_J0	S110	L1_Deaf	31	363	46_50.jpg	Same	50	f	f	1	811	0
MR_V2_F0_J1	S113	L1_Hearing	45	381	48_100.jpg	Same	100	j	j	1	811	0
MR_V2_F0_J1	S108	L2_Intermediate	25	25	4_0.jpg	Same	0	j	j	1	819	0
MR_V2_F0_J1	S105	L1_Deaf	9	156	20_50_R.jpg	Mirror	50	f	j	0	823	0
MR_V2_F0_J1	S107	L1_Deaf	25	297	38_0.jpg	Same	0	j	j	1	831	0
MR_V2_F0_J1	S131	L2_Intermediate	44	321	41_0.jpg	Same	0	j	j	1	831	0
MR_V2_F0_J1	S113	L1_Hearing	38	123	16_50.jpg	Same	50	j	j	1	839	0
MR_V1_F1_J0	S134	L2_Intermediate	30	97	13_0.jpg	Same	0	f	f	1	844	0
MR_V1_F1_J0	S140	L1_Deaf	38	177	23_0.jpg	Same	0	f	f	1	844	0
MR_V1_F1_J0	S140	L1_Deaf	28	265	34_0.jpg	Same	0	f	f	1	847	0
MR_V1_F1_J0	S130	L2_Intermediate	12	146	19_0_R.jpg	Mirror	0	j	f	0	848	0
MR_V2_F0_J1	S105	L1_Deaf	30	260	33_50_R.jpg	Mirror	50	f	f	1	849	0
MR_V2_F0_J1	S105	L1_Deaf	23	266	34_0_R.jpg	Mirror	0	f	f	1	854	0
MR_V1_F1_J0	S130	L2_Intermediate	8	305	39_0.jpg	Same	0	f	f	1	854	0
MR_V1_F1_J0	S139	L1_Deaf	37	177	23_0.jpg	Same	0	f	f	1	856	0
MR_V1_F1_J0	S121	L2_Fluent	14	89	12_0.jpg	Same	0	f	f	1	859	0
MR_V1_F1_J0	S120	L1_Deaf	26	177	23_0.jpg	Same	0	f	f	1	862	0
MR_V2_F0_J1	S105	L1_Deaf	38	280	35_150_R.jpg	Mirror	150	f	j	0	864	0
MR_V2_F0_J1	S105	L1_Deaf	18	95	12_150.jpg	Same	150	j	j	1	864	0
MR_V1_F1_J0	S140	L1_Deaf	46	121	16_0.jpg	Same	0	f	f	1	867	0
MR_V1_F1_J0	S122	L2_Intermediate	41	233	30_0.jpg	Same	0	f	f	1	871	0
MR_V2_F0_J1	S105	L1_Deaf	6	369	47_0.jpg	Same	0	j	j	1	873	0
MR_V1_F1_J0	S124	L1_Hearing	29	185	24_0.jpg	Same	0	f	f	1	879	0
MR_V2_F0_J1	S113	L1_Hearing	26	244	31_50_R.jpg	Mirror	50	f	j	0	879	0
MR_V2_F0_J1	S105	L1_Deaf	10	110	14_100_R.jpg	Mirror	100	f	f	1	880	0
MR_V1_F1_J0	S139	L1_Deaf	45	194	25_0_R.jpg	Mirror	0	j	j	1	884	0
MR_V2_F0_J1	S105	L1_Deaf	26	118	15_100_R.jpg	Mirror	100	f	f	1	890	0
MR_V2_F0_J1	S107	L1_Deaf	6	162	21_0_R.jpg	Mirror	0	f	f	1	893	0
MR_V1_F1_J0	S136	L2_Fluent	19	113	15_0.jpg	Same	0	f	f	1	894	0
MR_V1_F1_J0	S117	L1_Hearing	21	33	5_0.jpg	Same	0	f	f	1	896	0
MR_V2_F0_J1	S105	L1_Deaf	3	356	45_50_R.jpg	Mirror	50	f	j	0	896	0
MR_V2_F0_J1	S105	L1_Deaf	31	202	26_0_R.jpg	Mirror	0	f	f	1	897	0
MR_V2_F0_J1	S105	L1_Deaf	7	373	47_100.jpg	Same	100	j	f	0	898	0
MR_V2_F0_J1	S113	L1_Hearing	29	137	18_0.jpg	Same	0	j	j	1	906	0
MR_V1_F1_J0	S122	L2_Intermediate	18	297	38_0.jpg	Same	0	f	f	1	912	0
MR_V1_F1_J0	S110	L1_Deaf	22	291	37_50.jpg	Same	50	f	f	1	914	0
MR_V2_F0_J1	S107	L1_Deaf	11	354	45_0_R.jpg	Mirror	0	f	f	1	915	0
MR_V2_F0_J1	S113	L1_Hearing	17	105	14_0.jpg	Same	0	j	j	1	915	0
MR_V2_F0_J1	S144	L2_Fluent	33	370	47_0_R.jpg	Mirror	0	f	f	1	925	0
MR_V1_F1_J0	S117	L1_Hearing	19	125	16_100.jpg	Same	100	f	j	0	926	0
MR_V1_F1_J0	S121	L2_Fluent	5	329	42_0.jpg	Same	0	f	f	1	929	0
MR_V2_F0_J1	S113	L1_Hearing	46	351	44_150.jpg	Same	150	j	f	0	932	0
MR_V1_F1_J0	S148	L1_Hearing	6	1	1_0.jpg	Same	0	f	j	0	933	0
MR_V2_F0_J1	S105	L1_Deaf	41	171	22_50.jpg	Same	50	j	j	1	935	0
MR_V1_F1_J0	S124	L1_Hearing	41	289	37_0.jpg	Same	0	f	f	1	941	0
MR_V2_F0_J1	S133	L2_Intermediate	40	171	22_50.jpg	Same	50	j	f	0	943	0
MR_V1_F1_J0	S120	L1_Deaf	32	138	18_0_R.jpg	Mirror	0	j	f	0	949	0
MR_V1_F1_J0	S122	L2_Intermediate	42	345	44_0.jpg	Same	0	f	f	1	949	0
MR_V1_F1_J0	S130	L2_Intermediate	23	154	20_0_R.jpg	Mirror	0	j	f	0	951	0
MR_V2_F0_J1	S126	L2_Intermediate	5	1	1_0.jpg	Same	0	j	j	1	951	0
MR_V2_F0_J1	S133	L2_Intermediate	32	11	2_50.jpg	Same	50	j	f	0	951	0
MR_V2_F0_J1	S133	L2_Intermediate	46	87	11_150.jpg	Same	150	j	j	1	958	0
MR_V2_F0_J1	S112	L1_Deaf	32	58	8_0_R.jpg	Mirror	0	f	f	1	964	0
MR_V2_F0_J1	S105	L1_Deaf	24	348	44_50_R.jpg	Mirror	50	f	j	0	967	0
MR_V2_F0_J1	S113	L1_Hearing	28	61	8_100.jpg	Same	100	j	f	0	967	0
MR_V1_F1_J0	S121	L2_Fluent	31	177	23_0.jpg	Same	0	f	f	1	968	0
MR_V1_F1_J0	S120	L1_Deaf	44	9	2_0.jpg	Same	0	f	f	1	971	0
MR_V1_F1_J0	S122	L2_Intermediate	48	369	47_0.jpg	Same	0	f	f	1	971	0
MR_V2_F0_J1	S113	L1_Hearing	27	379	48_50.jpg	Same	50	j	j	1	973	0
MR_V1_F1_J0	S139	L1_Deaf	48	99	13_50.jpg	Same	50	f	f	1	975	0
MR_V1_F1_J0	S140	L1_Deaf	23	233	30_0.jpg	Same	0	f	f	1	977	0
MR_V2_F0_J1	S144	L2_Fluent	37	354	45_0_R.jpg	Mirror	0	f	f	1	979	0
MR_V1_F1_J0	S117	L1_Hearing	28	251	32_50.jpg	Same	50	f	j	0	979	0
MR_V1_F1_J0	S139	L1_Deaf	27	209	27_0.jpg	Same	0	f	f	1	986	0
MR_V2_F0_J1	S144	L2_Fluent	46	316	40_50_R.jpg	Mirror	50	f	f	1	988	0
MR_V1_F1_J0	S121	L2_Fluent	41	244	31_50_R.jpg	Mirror	50	j	f	0	991	0
MR_V1_F1_J0	S124	L1_Hearing	22	153	20_0.jpg	Same	0	f	f	1	993	0
MR_V2_F0_J1	S107	L1_Deaf	36	75	10_50.jpg	Same	50	j	j	1	993	0
MR_V1_F1_J0	S139	L1_Deaf	7	369	47_0.jpg	Same	0	f	f	1	997	0
MR_V2_F0_J1	S133	L2_Intermediate	48	67	9_50.jpg	Same	50	j	f	0	998	0
MR_V2_F0_J1	S107	L1_Deaf	19	194	25_0_R.jpg	Mirror	0	f	f	1	1001	0
MR_V1_F1_J0	S151	L2_Intermediate	41	377	48_0.jpg	Same	0	f	f	1	1002	0
MR_V1_F1_J0	S139	L1_Deaf	25	164	21_50_R.jpg	Mirror	50	j	j	1	1006	0
MR_V1_F1_J0	S118	L2_Fluent	24	369	47_0.jpg	Same	0	f	f	1	1008	0
MR_V2_F0_J1	S105	L1_Deaf	34	214	27_100_R.jpg	Mirror	100	f	j	0	1008	0
MR_V1_F1_J0	S130	L2_Intermediate	11	157	20_100.jpg	Same	100	f	f	1	1008	0
MR_V1_F1_J0	S117	L1_Hearing	44	180	23_50_R.jpg	Mirror	50	j	f	0	1013	0
MR_V1_F1_J0	S148	L1_Hearing	4	116	15_50_R.jpg	Mirror	50	j	j	1	1017	0
MR_V1_F1_J0	S130	L2_Intermediate	37	306	39_0_R.jpg	Mirror	0	j	j	1	1019	0
MR_V1_F1_J0	S121	L2_Fluent	21	33	5_0.jpg	Same	0	f	f	1	1019	0
MR_V1_F1_J0	S148	L1_Hearing	21	300	38_50_R.jpg	Mirror	50	j	j	1	1019	0
MR_V1_F1_J0	S109	L1_Deaf	29	57	8_0.jpg	Same	0	f	f	1	1024	0
MR_V2_F0_J1	S105	L1_Deaf	37	379	48_50.jpg	Same	50	j	f	0	1031	0
MR_V1_F1_J0	S110	L1_Deaf	29	245	31_100.jpg	Same	100	f	f	1	1031	0
MR_V1_F1_J0	S122	L2_Intermediate	12	234	30_0_R.jpg	Mirror	0	j	j	1	1033	0
MR_V2_F0_J1	S131	L2_Intermediate	35	300	38_50_R.jpg	Mirror	50	f	f	1	1036	0
